mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10465998649597168,0.0004371676873447523,0.3064075469970703,0.00025234502637983886,ball_tree,minkowski,7,uniform,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'uniform'}",0.4782608695652174,0.6956521739130435,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.5391304347826087,0.08064016083039742,55,0.6521739130434783,0.7065217391304348,0.717391304347826,0.7282608695652174,0.6521739130434783,0.691304347826087,0.032681079083419357
0.10379996299743652,0.0009111301005485116,0.30599002838134765,0.0005228872739524694,ball_tree,minkowski,7,distance,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'}",0.6521739130434783,0.782608695652174,0.6086956521739131,0.5652173913043478,0.6956521739130435,0.6608695652173913,0.07480282840906634,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10527248382568359,0.0005268517290286232,0.30768728256225586,0.0016803347356182236,ball_tree,minkowski,9,uniform,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'uniform'}",0.391304347826087,0.5217391304347826,0.5652173913043478,0.391304347826087,0.43478260869565216,0.4608695652173913,0.07064381221422572,67,0.5978260869565217,0.5217391304347826,0.6195652173913043,0.6739130434782609,0.5760869565217391,0.5978260869565217,0.05004723666617973
0.10325541496276855,0.0009694322197902129,0.30611457824707033,0.001539167886835211,ball_tree,minkowski,9,distance,"{'algorithm': 'ball_tree', 'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'}",0.6521739130434783,0.7391304347826086,0.6086956521739131,0.5217391304347826,0.6521739130434783,0.6347826086956522,0.07064381221422572,40,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09201488494873047,0.0005103003708032581,0.35147819519042967,0.0014721185051454224,kd_tree,euclidean,3,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.782608695652174,0.8260869565217391,0.6086956521739131,0.5217391304347826,0.6956521739130435,0.6869565217391305,0.1113586823901365,16,0.8152173913043478,0.8369565217391305,0.8478260869565217,0.8586956521739131,0.8478260869565217,0.8413043478260869,0.014744195615489734
0.09190945625305176,0.0006080781873060558,0.3505837917327881,0.004436243190957002,kd_tree,euclidean,3,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.782608695652174,0.8260869565217391,0.6086956521739131,0.6956521739130435,0.6956521739130435,0.7217391304347827,0.07580693814853345,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09317083358764648,0.0015032878799215914,0.35123639106750487,0.0028233745431088006,kd_tree,euclidean,5,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.6521739130434783,0.6956521739130435,0.6086956521739131,0.5217391304347826,0.6956521739130435,0.6347826086956522,0.06507230237867724,40,0.7608695652173914,0.7391304347826086,0.782608695652174,0.8043478260869565,0.7391304347826086,0.7652173913043478,0.025351964760196986
0.09485139846801757,0.001160790665025753,0.35582637786865234,0.0029692051204394886,kd_tree,euclidean,5,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.6956521739130435,0.8260869565217391,0.6521739130434783,0.5652173913043478,0.6956521739130435,0.6869565217391304,0.08430747578115357,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09123711585998535,0.00013132959294485355,0.3504220485687256,0.001325907918407055,kd_tree,euclidean,7,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.4782608695652174,0.6956521739130435,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.5391304347826087,0.08064016083039742,55,0.6521739130434783,0.7065217391304348,0.717391304347826,0.7282608695652174,0.6521739130434783,0.691304347826087,0.032681079083419357
0.09135355949401855,0.00034275430402360264,0.34999570846557615,0.0014422441753811383,kd_tree,euclidean,7,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.6521739130434783,0.782608695652174,0.6086956521739131,0.5652173913043478,0.6956521739130435,0.6608695652173913,0.07480282840906634,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09094958305358887,0.0006764159788797015,0.3488585948944092,0.0012735499438031972,kd_tree,euclidean,9,uniform,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.391304347826087,0.5217391304347826,0.5652173913043478,0.391304347826087,0.43478260869565216,0.4608695652173913,0.07064381221422572,67,0.5978260869565217,0.5217391304347826,0.6195652173913043,0.6739130434782609,0.5760869565217391,0.5978260869565217,0.05004723666617973
0.09219393730163575,0.0007453959057628044,0.34902424812316896,0.0034480579373080992,kd_tree,euclidean,9,distance,"{'algorithm': 'kd_tree', 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.6521739130434783,0.7391304347826086,0.6086956521739131,0.5217391304347826,0.6521739130434783,0.6347826086956522,0.07064381221422572,40,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08916840553283692,0.000928561780246344,0.3354377269744873,0.0017216252408916888,kd_tree,manhattan,3,uniform,"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.7391304347826086,0.8695652173913043,0.6086956521739131,0.5652173913043478,0.7391304347826086,0.7043478260869565,0.10791020561731178,13,0.8152173913043478,0.8369565217391305,0.8478260869565217,0.8586956521739131,0.8369565217391305,0.8391304347826087,0.01442010778415393
0.09129886627197266,0.00045745109774159135,0.33384099006652834,0.0015424657578327582,kd_tree,manhattan,3,distance,"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.782608695652174,0.8695652173913043,0.6086956521739131,0.5652173913043478,0.782608695652174,0.7217391304347827,0.11536086227323131,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09202136993408203,0.0004930325953423257,0.3344260215759277,0.0018831028360285725,kd_tree,manhattan,5,uniform,"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.5217391304347826,0.6956521739130435,0.5652173913043478,0.5217391304347826,0.6956521739130435,0.6,0.07969696860792766,52,0.7065217391304348,0.7391304347826086,0.7717391304347826,0.7717391304347826,0.7608695652173914,0.75,0.02478642228476386
0.0912665843963623,0.0009175206553539533,0.3336904048919678,0.0010609078661015581,kd_tree,manhattan,5,distance,"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.782608695652174,0.8695652173913043,0.6521739130434783,0.5217391304347826,0.7391304347826086,0.7130434782608696,0.11859288432161615,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09260611534118653,0.0007503756450949687,0.3375228404998779,0.001921302190574479,kd_tree,manhattan,7,uniform,"{'algorithm': 'kd_tree', 'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.5217391304347826,0.6956521739130435,0.6086956521739131,0.34782608695652173,0.5217391304347826,0.5391304347826087,0.11536086227323131,55,0.6739130434782609,0.6956521739130435,0.717391304347826,0.7065217391304348,0.6630434782608695,0.691304347826087,0.02016004020759937
